date,AAPL,MSFT,SPY
2026-01-20,342.34,375.45,462.82
2026-01-21,344.58,369.83,460.29
2026-01-22,347.09,379.11,458.31
2026-01-23,353.56,378.0,455.15
2026-01-26,358.84,374.13,451.48
2026-01-27,357.83,387.23,449.12
2026-01-28,366.85,388.25,444.14
2026-01-29,366.17,395.95,440.65
2026-01-30,362.05,400.69,435.17
2026-02-02,358.89,391.55,430.14
2026-02-03,355.35,392.39,424.96
2026-02-04,341.97,389.69,423.34
2026-02-05,343.14,382.61,421.18
2026-02-06,344.89,373.4,417.21
2026-02-09,342.85,374.1,418.96
2026-02-10,338.68,377.38,418.94
2026-02-11,341.16,379.62,417.64
2026-02-12,352.08,378.17,416.24
2026-02-13,352.53,374.13,421.73
2026-02-16,349.53,369.16,422.68
2026-02-17,346.04,366.47,424.44
2026-02-18,345.81,361.37,415.9
2026-02-19,338.23,360.51,413.87
2026-02-20,337.67,360.55,406.89
2026-02-23,338.25,356.22,405.65
2026-02-24,349.88,355.22,407.0
2026-02-25,356.08,351.62,404.95
2026-02-26,362.99,351.76,406.78
2026-02-27,358.58,354.42,403.61
2026-03-02,363.15,355.47,405.61
2026-03-03,355.99,357.99,400.74
2026-03-04,358.21,349.96,400.04
2026-03-05,361.13,348.26,401.53
2026-03-06,356.4,349.77,403.4
2026-03-09,369.68,353.09,403.13
2026-03-10,373.7,345.43,409.58
2026-03-11,361.34,346.36,408.36
2026-03-12,365.17,352.41,407.03
2026-03-13,362.72,351.69,398.29
2026-03-16,362.94,351.38,404.1
2026-03-17,366.22,353.77,403.05
2026-03-18,369.02,355.15,399.42
2026-03-19,355.94,358.68,403.8
2026-03-20,348.8,359.21,407.96
2026-03-23,353.9,360.14,408.45
2026-03-24,362.5,356.38,403.93
2026-03-25,375.36,355.69,405.43
